timestamp,ambient_celsius
2024-05-19 00:00,13.8
2024-05-19 01:00,13.9
2024-05-19 02:00,14.9
2024-05-19 03:00,15.5
2024-05-19 04:00,16.3
2024-05-19 05:00,18.0
2024-05-19 06:00,18.8
2024-05-19 07:00,20.3
2024-05-19 08:00,21.4
2024-05-19 09:00,22.4
2024-05-19 10:00,23.0
2024-05-19 11:00,24.0
2024-05-19 12:00,24.2
2024-05-19 13:00,23.9
2024-05-19 14:00,23.1
2024-05-19 15:00,22.5
2024-05-19 16:00,21.4
2024-05-19 17:00,20.3
2024-05-19 18:00,19.1
2024-05-19 19:00,17.7
2024-05-19 20:00,16.4
2024-05-19 21:00,15.7
2024-05-19 22:00,14.5
2024-05-19 23:00,14.1
2024-05-20 00:00,15.5
2024-05-20 01:00,15.5
2024-05-20 02:00,16.2
2024-05-20 03:00,17.0
2024-05-20 04:00,18.3
2024-05-20 05:00,19.1
2024-05-20 06:00,20.8
2024-05-20 07:00,21.9
2024-05-20 08:00,22.9
2024-05-20 09:00,24.1
2024-05-20 10:00,24.9
2024-05-20 11:00,25.5
2024-05-20 12:00,25.2
2024-05-20 13:00,25.4
2024-05-20 14:00,24.8
2024-05-20 15:00,24.3
2024-05-20 16:00,22.9
2024-05-20 17:00,22.0
2024-05-20 18:00,20.6
2024-05-20 19:00,19.1
2024-05-20 20:00,18.1
2024-05-20 21:00,17.0
2024-05-20 22:00,16.3
2024-05-20 23:00,15.8
2024-05-21 00:00,13.1
2024-05-21 01:00,13.4
2024-05-21 02:00,13.7
2024-05-21 03:00,14.7
2024-05-21 04:00,15.6
2024-05-21 05:00,16.6
2024-05-21 06:00,18.0
2024-05-21 07:00,19.3
2024-05-21 08:00,20.6
2024-05-21 09:00,21.3
2024-05-21 10:00,22.2
2024-05-21 11:00,23.0
2024-05-21 12:00,22.8
2024-05-21 13:00,22.6
2024-05-21 14:00,22.4
2024-05-21 15:00,21.8
2024-05-21 16:00,20.5
2024-05-21 17:00,19.5
2024-05-21 18:00,18.2
2024-05-21 19:00,16.6
2024-05-21 20:00,15.7
2024-05-21 21:00,14.5
2024-05-21 22:00,13.9
2024-05-21 23:00,13.3
2024-05-22 00:00,15.9
2024-05-22 01:00,15.9
2024-05-22 02:00,16.9
2024-05-22 03:00,17.2
2024-05-22 04:00,18.8
2024-05-22 05:00,19.9
2024-05-22 06:00,21.1
2024-05-22 07:00,22.6
2024-05-22 08:00,23.8
2024-05-22 09:00,24.7
2024-05-22 10:00,25.2
2024-05-22 11:00,26.0
2024-05-22 12:00,25.7
2024-05-22 13:00,25.9
2024-05-22 14:00,25.3
2024-05-22 15:00,24.6
2024-05-22 16:00,23.6
2024-05-22 17:00,22.3
2024-05-22 18:00,21.2
2024-05-22 19:00,20.0
2024-05-22 20:00,18.3
2024-05-22 21:00,17.3
2024-05-22 22:00,16.4
2024-05-22 23:00,16.4
