date,line1_kwh,line2_kwh,line3_kwh,total_kwh
2024-05-01,791,776,863,2430
2024-05-02,792,777,866,2435
2024-05-03,790,778,869,2437
2024-05-04,791,775,872,2438
2024-05-05,792,776,875,2443
2024-05-06,790,777,878,2445
2024-05-07,791,778,881,2450
2024-05-08,792,775,884,2451
2024-05-09,790,776,887,2453
2024-05-10,791,777,890,2458
2024-05-11,792,778,893,2463
2024-05-12,790,775,896,2461
2024-05-13,791,776,899,2466
2024-05-14,792,777,902,2471
2024-05-15,790,778,905,2473
2024-05-16,791,775,908,2474
2024-05-17,792,776,911,2479
2024-05-18,790,777,914,2481
2024-05-19,791,778,917,2486
2024-05-20,792,775,920,2487
2024-05-21,790,776,923,2489
2024-05-22,791,777,926,2494
2024-05-23,792,778,929,2499
2024-05-24,790,775,932,2497
2024-05-25,791,776,935,2502
2024-05-26,792,777,938,2507
2024-05-27,790,778,941,2509
2024-05-28,791,775,944,2510
2024-05-29,792,776,947,2515
2024-05-30,790,777,950,2517
2024-05-31,791,778,953,2522
