timestamp,vibration_rms_mm_s
2024-05-21 05:00,3.41
2024-05-21 05:01,3.42
2024-05-21 05:02,3.43
2024-05-21 05:03,3.43
2024-05-21 05:04,3.44
2024-05-21 05:05,3.45
2024-05-21 05:06,3.45
2024-05-21 05:07,3.46
2024-05-21 05:08,3.47
2024-05-21 05:09,3.47
2024-05-21 05:10,3.47
2024-05-21 05:11,3.48
2024-05-21 05:12,3.48
2024-05-21 05:13,3.48
2024-05-21 05:14,3.48
2024-05-21 05:15,3.48
2024-05-21 05:16,3.48
2024-05-21 05:17,3.48
2024-05-21 05:18,3.48
2024-05-21 05:19,3.48
2024-05-21 05:20,3.47
2024-05-21 05:21,3.47
2024-05-21 05:22,3.47
2024-05-21 05:23,3.46
2024-05-21 05:24,3.46
2024-05-21 05:25,3.45
2024-05-21 05:26,3.45
2024-05-21 05:27,3.44
2024-05-21 05:28,3.44
2024-05-21 05:29,3.43
2024-05-21 05:30,3.43
2024-05-21 05:31,3.43
2024-05-21 05:32,3.43
2024-05-21 05:33,3.43
2024-05-21 05:34,3.44
2024-05-21 05:35,3.44
2024-05-21 05:36,3.44
2024-05-21 05:37,3.45
2024-05-21 05:38,3.45
2024-05-21 05:39,3.46
2024-05-21 05:40,3.47
2024-05-21 05:41,3.47
2024-05-21 05:42,3.48
2024-05-21 05:43,3.49
2024-05-21 05:44,3.5
2024-05-21 05:45,3.51
2024-05-21 05:46,3.52
2024-05-21 05:47,3.53
2024-05-21 05:48,3.54
2024-05-21 05:49,3.56
2024-05-21 05:50,3.57
2024-05-21 05:51,3.58
2024-05-21 05:52,3.59
2024-05-21 05:53,3.6
2024-05-21 05:54,3.61
2024-05-21 05:55,3.62
2024-05-21 05:56,3.64
2024-05-21 05:57,3.65
2024-05-21 05:58,3.65
2024-05-21 05:59,3.66
2024-05-21 06:00,3.67
2024-05-21 06:01,3.68
2024-05-21 06:02,3.69
2024-05-21 06:03,3.69
2024-05-21 06:04,3.7
2024-05-21 06:05,3.7
2024-05-21 06:06,3.7
2024-05-21 06:07,3.71
2024-05-21 06:08,3.71
2024-05-21 06:09,3.71
2024-05-21 06:10,3.71
2024-05-21 06:11,3.71
2024-05-21 06:12,3.71
2024-05-21 06:13,3.71
2024-05-21 06:14,3.71
2024-05-21 06:15,3.71
2024-05-21 06:16,3.71
2024-05-21 06:17,3.71
2024-05-21 06:18,3.71
2024-05-21 06:19,3.71
2024-05-21 06:20,3.71
2024-05-21 06:21,3.71
2024-05-21 06:22,3.71
2024-05-21 06:23,3.71
2024-05-21 06:24,3.71
2024-05-21 06:25,3.72
2024-05-21 06:26,3.72
2024-05-21 06:27,3.72
2024-05-21 06:28,3.73
2024-05-21 06:29,3.73
2024-05-21 06:30,3.74
2024-05-21 06:31,3.75
2024-05-21 06:32,3.76
2024-05-21 06:33,3.77
2024-05-21 06:34,3.78
2024-05-21 06:35,3.79
2024-05-21 06:36,3.8
2024-05-21 06:37,3.81
2024-05-21 06:38,3.82
2024-05-21 06:39,3.83
2024-05-21 06:40,3.84
2024-05-21 06:41,3.85
2024-05-21 06:42,3.86
2024-05-21 06:43,3.88
2024-05-21 06:44,3.89
2024-05-21 06:45,3.9
2024-05-21 06:46,3.91
2024-05-21 06:47,3.92
2024-05-21 06:48,3.93
2024-05-21 06:49,3.94
2024-05-21 06:50,3.95
2024-05-21 06:51,3.95
2024-05-21 06:52,3.96
2024-05-21 06:53,3.97
2024-05-21 06:54,3.97
2024-05-21 06:55,3.98
2024-05-21 06:56,3.98
2024-05-21 06:57,3.98
2024-05-21 06:58,3.98
2024-05-21 06:59,3.99
2024-05-21 07:00,3.99
