timestamp,header_pressure_bar,pump_bus_voltage_v
2024-05-21 05:00,6.2,486.0
2024-05-21 05:01,6.225,485.99
2024-05-21 05:02,6.25,485.95
2024-05-21 05:03,6.274,485.88
2024-05-21 05:04,6.298,485.79
2024-05-21 05:05,6.321,485.67
2024-05-21 05:06,6.344,485.53
2024-05-21 05:07,6.365,485.36
2024-05-21 05:08,6.386,485.17
2024-05-21 05:09,6.404,484.95
2024-05-21 05:10,6.422,484.72
2024-05-21 05:11,6.438,484.46
2024-05-21 05:12,6.452,484.18
2024-05-21 05:13,6.465,483.88
2024-05-21 05:14,6.476,483.57
2024-05-21 05:15,6.485,483.24
2024-05-21 05:16,6.492,482.9
2024-05-21 05:17,6.496,482.54
2024-05-21 05:18,6.499,482.17
2024-05-21 05:19,6.5,481.8
2024-05-21 05:20,6.499,481.41
2024-05-21 05:21,6.495,481.02
2024-05-21 05:22,6.49,480.62
2024-05-21 05:23,6.482,480.22
2024-05-21 05:24,6.473,479.82
2024-05-21 05:25,6.461,479.43
2024-05-21 05:26,6.448,479.03
2024-05-21 05:27,6.433,478.64
2024-05-21 05:28,6.417,478.25
2024-05-21 05:29,6.399,477.87
2024-05-21 05:30,6.38,477.5
2024-05-21 05:31,6.359,477.15
2024-05-21 05:32,6.337,476.8
2024-05-21 05:33,6.314,476.47
2024-05-21 05:34,6.291,476.15
2024-05-21 05:35,6.267,475.86
2024-05-21 05:36,6.242,475.58
2024-05-21 05:37,6.217,475.32
2024-05-21 05:38,6.192,475.08
2024-05-21 05:39,6.168,474.86
2024-05-21 05:40,6.143,474.66
2024-05-21 05:41,6.119,474.49
2024-05-21 05:42,6.095,474.35
2024-05-21 05:43,6.072,474.23
2024-05-21 05:44,6.05,474.13
2024-05-21 05:45,6.029,474.06
2024-05-21 05:46,6.009,474.02
2024-05-21 05:47,5.99,474.0
2024-05-21 05:48,5.973,474.01
2024-05-21 05:49,5.957,474.05
2024-05-21 05:50,5.944,474.11
2024-05-21 05:51,5.932,474.2
2024-05-21 05:52,5.921,474.31
2024-05-21 05:53,5.913,474.45
2024-05-21 05:54,5.907,474.62
2024-05-21 05:55,5.902,474.81
2024-05-21 05:56,5.9,475.02
2024-05-21 05:57,5.9,475.25
2024-05-21 05:58,5.902,475.51
2024-05-21 05:59,5.906,475.78
2024-05-21 06:00,5.912,476.08
2024-05-21 06:01,5.92,476.39
2024-05-21 06:02,5.93,476.72
2024-05-21 06:03,5.942,477.06
2024-05-21 06:04,5.956,477.41
2024-05-21 06:05,5.971,477.78
2024-05-21 06:06,5.988,478.16
2024-05-21 06:07,6.007,478.54
2024-05-21 06:08,6.027,478.93
2024-05-21 06:09,6.048,479.33
2024-05-21 06:10,6.07,479.73
2024-05-21 06:11,6.092,480.13
2024-05-21 06:12,6.116,480.52
2024-05-21 06:13,6.14,480.92
2024-05-21 06:14,6.165,481.31
2024-05-21 06:15,6.19,481.7
2024-05-21 06:16,6.215,482.08
2024-05-21 06:17,6.24,482.45
2024-05-21 06:18,6.265,482.81
2024-05-21 06:19,6.289,483.16
2024-05-21 06:20,6.312,483.49
2024-05-21 06:21,6.335,483.81
2024-05-21 06:22,6.357,484.11
2024-05-21 06:23,6.378,484.39
2024-05-21 06:24,6.397,484.65
2024-05-21 06:25,6.415,484.9
2024-05-21 06:26,6.432,485.12
2024-05-21 06:27,6.447,485.31
2024-05-21 06:28,6.46,485.49
2024-05-21 06:29,6.472,485.64
2024-05-21 06:30,6.481,485.76
2024-05-21 06:31,6.489,485.86
2024-05-21 06:32,6.495,485.93
2024-05-21 06:33,6.498,485.98
2024-05-21 06:34,6.5,486.0
2024-05-21 06:35,6.499,485.99
2024-05-21 06:36,6.497,485.96
2024-05-21 06:37,6.492,485.9
2024-05-21 06:38,6.485,485.81
2024-05-21 06:39,6.477,485.7
2024-05-21 06:40,6.466,485.56
2024-05-21 06:41,6.454,485.4
2024-05-21 06:42,6.44,485.22
2024-05-21 06:43,6.424,485.01
2024-05-21 06:44,6.406,484.78
2024-05-21 06:45,6.387,484.52
2024-05-21 06:46,6.367,484.25
2024-05-21 06:47,6.346,483.96
2024-05-21 06:48,6.324,483.65
2024-05-21 06:49,6.3,483.32
2024-05-21 06:50,6.277,482.98
2024-05-21 06:51,6.252,482.63
2024-05-21 06:52,6.227,482.27
2024-05-21 06:53,6.202,481.89
2024-05-21 06:54,6.177,481.51
2024-05-21 06:55,6.153,481.12
2024-05-21 06:56,6.128,480.72
2024-05-21 06:57,6.104,480.32
2024-05-21 06:58,6.081,479.92
2024-05-21 06:59,6.058,479.52
2024-05-21 07:00,6.037,479.13
2024-05-21 07:01,6.016,478.73
2024-05-21 07:02,5.997,478.35
2024-05-21 07:03,5.98,477.97
2024-05-21 07:04,5.963,477.59
2024-05-21 07:05,5.949,477.23
2024-05-21 07:06,5.936,476.88
2024-05-21 07:07,5.925,476.55
2024-05-21 07:08,5.916,476.23
2024-05-21 07:09,5.909,475.93
2024-05-21 07:10,5.904,475.64
2024-05-21 07:11,5.901,475.38
2024-05-21 07:12,5.9,475.13
2024-05-21 07:13,5.901,474.91
2024-05-21 07:14,5.904,474.71
2024-05-21 07:15,5.91,474.53
2024-05-21 07:16,5.917,474.38
2024-05-21 07:17,5.926,474.25
2024-05-21 07:18,5.937,474.15
2024-05-21 07:19,5.95,474.07
2024-05-21 07:20,5.965,474.03
2024-05-21 07:21,5.981,474.0
2024-05-21 07:22,5.999,474.01
2024-05-21 07:23,6.019,474.04
2024-05-21 07:24,6.039,474.09
2024-05-21 07:25,6.061,474.17
2024-05-21 07:26,6.083,474.28
2024-05-21 07:27,6.107,474.42
2024-05-21 07:28,6.131,474.58
2024-05-21 07:29,6.155,474.76
2024-05-21 07:30,6.18,474.97
2024-05-21 07:31,6.205,475.19
2024-05-21 07:32,6.23,475.44
2024-05-21 07:33,6.255,475.71
2024-05-21 07:34,6.279,476.0
2024-05-21 07:35,6.303,476.31
2024-05-21 07:36,6.326,476.63
2024-05-21 07:37,6.348,476.97
2024-05-21 07:38,6.369,477.32
2024-05-21 07:39,6.389,477.69
2024-05-21 07:40,6.408,478.06
2024-05-21 07:41,6.425,478.44
2024-05-21 07:42,6.441,478.83
2024-05-21 07:43,6.455,479.23
2024-05-21 07:44,6.467,479.63
2024-05-21 07:45,6.478,480.03
2024-05-21 07:46,6.486,480.43
2024-05-21 07:47,6.493,480.82
2024-05-21 07:48,6.497,481.22
2024-05-21 07:49,6.5,481.61
2024-05-21 07:50,6.5,481.99
2024-05-21 07:51,6.498,482.36
2024-05-21 07:52,6.494,482.72
2024-05-21 07:53,6.488,483.07
2024-05-21 07:54,6.48,483.41
2024-05-21 07:55,6.471,483.73
2024-05-21 07:56,6.459,484.04
2024-05-21 07:57,6.445,484.32
2024-05-21 07:58,6.43,484.59
2024-05-21 07:59,6.413,484.84
2024-05-21 08:00,6.395,485.06
2024-05-21 08:01,6.375,485.27
2024-05-21 08:02,6.355,485.45
2024-05-21 08:03,6.333,485.6
2024-05-21 08:04,6.31,485.73
2024-05-21 08:05,6.286,485.84
2024-05-21 08:06,6.262,485.92
2024-05-21 08:07,6.237,485.97
2024-05-21 08:08,6.212,486.0
2024-05-21 08:09,6.187,486.0
2024-05-21 08:10,6.162,485.97
2024-05-21 08:11,6.138,485.92
2024-05-21 08:12,6.114,485.84
2024-05-21 08:13,6.09,485.73
2024-05-21 08:14,6.067,485.6
2024-05-21 08:15,6.045,485.44
2024-05-21 08:16,6.024,485.26
2024-05-21 08:17,6.005,485.06
2024-05-21 08:18,5.986,484.84
2024-05-21 08:19,5.97,484.59
2024-05-21 08:20,5.954,484.32
2024-05-21 08:21,5.941,484.03
2024-05-21 08:22,5.929,483.73
2024-05-21 08:23,5.919,483.41
2024-05-21 08:24,5.912,483.07
2024-05-21 08:25,5.906,482.72
2024-05-21 08:26,5.902,482.36
2024-05-21 08:27,5.9,481.98
2024-05-21 08:28,5.9,481.6
2024-05-21 08:29,5.903,481.21
2024-05-21 08:30,5.907,480.82
2024-05-21 08:31,5.914,480.42
2024-05-21 08:32,5.922,480.02
2024-05-21 08:33,5.933,479.62
2024-05-21 08:34,5.945,479.23
2024-05-21 08:35,5.959,478.83
2024-05-21 08:36,5.975,478.44
2024-05-21 08:37,5.992,478.06
2024-05-21 08:38,6.011,477.68
2024-05-21 08:39,6.031,477.32
2024-05-21 08:40,6.052,476.97
2024-05-21 08:41,6.074,476.63
2024-05-21 08:42,6.097,476.31
2024-05-21 08:43,6.121,476.0
2024-05-21 08:44,6.145,475.71
2024-05-21 08:45,6.17,475.44
2024-05-21 08:46,6.195,475.19
2024-05-21 08:47,6.22,474.96
2024-05-21 08:48,6.245,474.76
2024-05-21 08:49,6.269,474.57
2024-05-21 08:50,6.294,474.42
2024-05-21 08:51,6.317,474.28
2024-05-21 08:52,6.34,474.17
2024-05-21 08:53,6.361,474.09
2024-05-21 08:54,6.382,474.03
2024-05-21 08:55,6.401,474.01
2024-05-21 08:56,6.419,474.0
2024-05-21 08:57,6.435,474.03
2024-05-21 08:58,6.45,474.08
2024-05-21 08:59,6.463,474.15
2024-05-21 09:00,6.474,474.25
2024-05-21 09:01,6.483,474.38
2024-05-21 09:02,6.49,474.53
2024-05-21 09:03,6.496,474.71
2024-05-21 09:04,6.499,474.91
2024-05-21 09:05,6.5,475.14
2024-05-21 09:06,6.499,475.38
2024-05-21 09:07,6.496,475.65
2024-05-21 09:08,6.491,475.93
2024-05-21 09:09,6.484,476.23
2024-05-21 09:10,6.475,476.55
2024-05-21 09:11,6.464,476.89
2024-05-21 09:12,6.451,477.24
2024-05-21 09:13,6.436,477.6
2024-05-21 09:14,6.42,477.97
2024-05-21 09:15,6.403,478.35
2024-05-21 09:16,6.383,478.74
2024-05-21 09:17,6.363,479.13
2024-05-21 09:18,6.341,479.53
2024-05-21 09:19,6.319,479.93
2024-05-21 09:20,6.296,480.33
2024-05-21 09:21,6.272,480.73
2024-05-21 09:22,6.247,481.12
2024-05-21 09:23,6.222,481.51
2024-05-21 09:24,6.197,481.89
2024-05-21 09:25,6.172,482.27
2024-05-21 09:26,6.148,482.63
2024-05-21 09:27,6.123,482.99
2024-05-21 09:28,6.099,483.33
2024-05-21 09:29,6.076,483.65
2024-05-21 09:30,6.054,483.96
2024-05-21 09:31,6.033,484.25
2024-05-21 09:32,6.012,484.53
2024-05-21 09:33,5.994,484.78
2024-05-21 09:34,5.976,485.01
2024-05-21 09:35,5.96,485.22
2024-05-21 09:36,5.946,485.4
2024-05-21 09:37,5.934,485.57
2024-05-21 09:38,5.923,485.7
2024-05-21 09:39,5.914,485.81
2024-05-21 09:40,5.908,485.9
2024-05-21 09:41,5.903,485.96
2024-05-21 09:42,5.901,485.99
2024-05-21 09:43,5.9,486.0
2024-05-21 09:44,5.902,485.98
2024-05-21 09:45,5.905,485.93
2024-05-21 09:46,5.911,485.86
2024-05-21 09:47,5.919,485.76
2024-05-21 09:48,5.928,485.64
2024-05-21 09:49,5.94,485.49
2024-05-21 09:50,5.953,485.31
2024-05-21 09:51,5.968,485.11
2024-05-21 09:52,5.985,484.89
2024-05-21 09:53,6.003,484.65
2024-05-21 09:54,6.023,484.39
2024-05-21 09:55,6.043,484.11
2024-05-21 09:56,6.065,483.81
2024-05-21 09:57,6.088,483.49
2024-05-21 09:58,6.112,483.15
2024-05-21 09:59,6.136,482.81
2024-05-21 10:00,6.16,482.45
2024-05-21 10:01,6.185,482.08
2024-05-21 10:02,6.21,481.7
2024-05-21 10:03,6.235,481.31
2024-05-21 10:04,6.26,480.92
2024-05-21 10:05,6.284,480.52
2024-05-21 10:06,6.308,480.12
2024-05-21 10:07,6.331,479.72
2024-05-21 10:08,6.353,479.32
2024-05-21 10:09,6.374,478.93
2024-05-21 10:10,6.393,478.54
2024-05-21 10:11,6.412,478.15
2024-05-21 10:12,6.429,477.78
2024-05-21 10:13,6.444,477.41
2024-05-21 10:14,6.458,477.06
2024-05-21 10:15,6.47,476.71
2024-05-21 10:16,6.48,476.39
2024-05-21 10:17,6.488,476.08
2024-05-21 10:18,6.494,475.78
2024-05-21 10:19,6.498,475.51
2024-05-21 10:20,6.5,475.25
2024-05-21 10:21,6.5,475.02
2024-05-21 10:22,6.497,474.81
2024-05-21 10:23,6.493,474.62
2024-05-21 10:24,6.487,474.45
2024-05-21 10:25,6.479,474.31
2024-05-21 10:26,6.468,474.2
2024-05-21 10:27,6.456,474.11
2024-05-21 10:28,6.442,474.05
2024-05-21 10:29,6.427,474.01
2024-05-21 10:30,6.41,474.0
2024-05-21 10:31,6.391,474.02
2024-05-21 10:32,6.371,474.06
2024-05-21 10:33,6.35,474.13
2024-05-21 10:34,6.328,474.23
2024-05-21 10:35,6.305,474.35
2024-05-21 10:36,6.281,474.49
2024-05-21 10:37,6.257,474.67
2024-05-21 10:38,6.232,474.86
2024-05-21 10:39,6.207,475.08
2024-05-21 10:40,6.182,475.32
2024-05-21 10:41,6.157,475.58
2024-05-21 10:42,6.133,475.86
2024-05-21 10:43,6.109,476.16
2024-05-21 10:44,6.085,476.47
2024-05-21 10:45,6.063,476.8
2024-05-21 10:46,6.041,477.15
2024-05-21 10:47,6.02,477.51
2024-05-21 10:48,6.001,477.88
2024-05-21 10:49,5.983,478.25
2024-05-21 10:50,5.966,478.64
2024-05-21 10:51,5.952,479.03
2024-05-21 10:52,5.938,479.43
2024-05-21 10:53,5.927,479.83
2024-05-21 10:54,5.918,480.23
2024-05-21 10:55,5.91,480.63
2024-05-21 10:56,5.905,481.02
2024-05-21 10:57,5.901,481.41
2024-05-21 10:58,5.9,481.8
2024-05-21 10:59,5.901,482.18
